old	new
s__Chryseoglobus sp002729155	s__Marinisubtilis pacificus
s__Chryseoglobus sp013414345	s__Marinisubtilis indicus
s__Clavibacter michiganensis_M	s__Clavibacter michiganensis_P
s__Cryobacterium sp003602235	s__Cryobacterium melibiosiphilum
g__Cryobacterium_B	g__Terrimesophilobacter
s__Cryobacterium_B mesophilum	s__Terrimesophilobacter mesophilus
s__Cryobacterium_B sp012274275	s__Terrimesophilobacter sp012274275
g__Glaciihabitans_A	g__Conyzicola
s__Glaciihabitans_A arcticus	s__Conyzicola arctica
s__Gulosibacter sp003865375	s__Gulosibacter macacae
s__Gulosibacter sp900626105	s__Gulosibacter sediminis
s__Homoserinimonas sp003065485	s__Homoserinimonas hongtaonis
s__Humibacter sp007859675	s__Humibacter ginsenosidimutans
s__Leifsonia_A sp004801905	s__Leifsonia_A flavus
s__Leucobacter sp000349545	s__Leucobacter muris
s__Leucobacter sp011299575	s__Leucobacter viscericola
s__Leucobacter sp011382965	s__Leucobacter insecticola
s__Leucobacter sp011382985	s__Leucobacter coleopterorum
g__Lysinimonas_A	g__Pseudolysinimonas
s__Lysinimonas_A sp002325245	s__Pseudolysinimonas sp002325245
s__Lysinimonas_A sp011620705	s__Pseudolysinimonas sp011620705
s__Lysinimonas_A yzui	s__Pseudolysinimonas yzui
s__Marisediminicola sp011057645	s__Marisediminicola senii
s__Microbacterium barkeri	s__Microbacterium algeriense
s__Microbacterium ketosireducens	s__Microbacterium terrae
s__Microbacterium laevaniformans_A	s__Microbacterium laevaniformans
s__Microbacterium sp000425985	s__Microbacterium sp002979515
s__Microbacterium sp001878835	s__Microbacterium commune
s__Microbacterium sp002970975	s__Microbacterium halophytorum
s__Microbacterium sp003121305	s__Microbacterium ureisolvens
s__Microbacterium sp003254645	s__Microbacterium suaedae
s__Microbacterium sp003387575	s__Microbacterium bovistercoris
s__Microbacterium sp003999995	s__Microbacterium sulfonylureivorans
s__Microbacterium sp005347485	s__Microbacterium binotii
s__Microbacterium sp008727755	s__Microbacterium caowuchunii
s__Microbacterium sp008727775	s__Microbacterium lushaniae
s__Microbacterium sp009745985	s__Microbacterium karelineae
s__Microbacterium sp011326725	s__Microbacterium excoecariae
s__Microbacterium sp900098805	s__Microbacterium luteum
s__Microbacterium sp903645325	s__Microbacterium ihumii
s__Microbacterium_A sp011751785	s__Microbacterium_A chengjingii
s__Microbacterium_A sp011751795	s__Microbacterium_A fandaimingii
s__Mycetocola_A sp003065425	s__Mycetocola_A zhujimingii
s__Naasia sp003097495	s__Naasia flava
s__Planctomonas sp008642235	s__Planctomonas psychrotolerans
s__Protaetiibacter sp008365275	s__Protaetiibacter larvae
s__Pseudoclavibacter alba	s__Pseudoclavibacter_B alba
s__Rhodoglobus xinjiangense	s__Rhodoglobus xinjiangensis
s__Yonghaparkia sp012530535	s__Yonghaparkia flavibacter
g__Arthrobacter_A	g__Specibacter
s__Arthrobacter_A alpinus	s__Specibacter alpinus
s__Arthrobacter_A alpinus_A	s__Specibacter alpinus_A
s__Arthrobacter_A alpinus_C	s__Specibacter alpinus_C
s__Arthrobacter_A dokdonellae	s__Specibacter dokdonellae
s__Arthrobacter_A glacialis	s__Specibacter glacialis
s__Arthrobacter_A livingstonensis	s__Specibacter livingstonensis
s__Arthrobacter_A psychrochitiniphilus	s__Specibacter psychrochitiniphilus
s__Arthrobacter_A psychrolactophilus	s__Specibacter psychrolactophilus
s__Arthrobacter_A silviterrae	s__Specibacter silviterrae
s__Arthrobacter_A sp000482545	s__Specibacter sp000482545
s__Arthrobacter_A sp000785535	s__Specibacter sp000785535
s__Arthrobacter_A sp001281315	s__Specibacter sp001281315
s__Arthrobacter_A sp002929305	s__Specibacter sp002929305
s__Arthrobacter_A sp002929705	s__Specibacter sp002929705
s__Arthrobacter_A sp003946885	s__Specibacter cremeus
s__Arthrobacter_A sp013376095	s__Specibacter sp013376095
s__Arthrobacter_A sp013376105	s__Specibacter wenxiniae
s__Arthrobacter_B sp002929435	s__Arthrobacter_B sunyaminii
s__Arthrobacter_B sp007923395	s__Arthrobacter_B yangruifuii
s__Arthrobacter_D sp003602275	s__Arthrobacter_D cheniae
s__Arthrobacter_D sp003602285	s__Arthrobacter_D frigidicola
s__Arthrobacter_D sp009828605	s__Arthrobacter_D zhaoguopingii
s__Arthrobacter_F sp004000035	s__Arthrobacter_F sulfonylureivorans
s__Arthrobacter_F sp012395835	s__Arthrobacter_F mobilis
s__Arthrobacter_G sp003614925	s__Arthrobacter_G celericrescens
g__Arthrobacter_I	g__Arthrobacter
s__Arthrobacter_I oryzae	s__Arthrobacter oryzae
s__Arthrobacter_I oryzae_A	s__Arthrobacter oryzae_A
s__Arthrobacter_I sp000196235	s__Arthrobacter sp000196235
s__Arthrobacter_I sp000374925	s__Arthrobacter sp000374925
s__Arthrobacter_I sp000427315	s__Arthrobacter sp000427315
s__Arthrobacter_I sp000685965	s__Arthrobacter sp000685965
s__Arthrobacter_I sp000876655	s__Arthrobacter sp000876655
s__Arthrobacter_I sp001422645	s__Arthrobacter sp001422645
s__Arthrobacter_I sp001423745	s__Arthrobacter sp001423745
s__Arthrobacter_I sp001428365	s__Arthrobacter sp001428365
s__Arthrobacter_I sp001512305	s__Arthrobacter sp001512305
s__Arthrobacter_I sp001750145	s__Arthrobacter sp001750145
s__Arthrobacter_I sp002929335	s__Arthrobacter sp002929335
s__Arthrobacter_I sp003097355	s__Arthrobacter sp003097355
s__Arthrobacter_I sp003352915	s__Arthrobacter sp003352915
s__Arthrobacter_I sp004798705	s__Arthrobacter sp004798705
s__Arthrobacter_I sp005280255	s__Arthrobacter sp005280255
s__Arthrobacter_I sp005937985	s__Arthrobacter sp005937985
s__Arthrobacter_I sp007679325	s__Arthrobacter sp007679325
s__Arthrobacter_I sp007858535	s__Arthrobacter sp007858535
s__Arthrobacter_I sp009928425	s__Arthrobacter sp009928425
s__Arthrobacter_I sp013359735	s__Arthrobacter sp013359735
s__Arthrobacter_I sp900102785	s__Arthrobacter sp900102785
s__Arthrobacter_I sp900102895	s__Arthrobacter sp900102895
s__Arthrobacter_I sp900116495	s__Arthrobacter sp900116495
s__Arthrobacter_I sp900168135	s__Arthrobacter humicola
s__Kocuria sp003226895	s__Kocuria tytonis
s__Kocuria sp003797835	s__Kocuria soli
g__MA-N2	g__Arthrobacter_K
s__MA-N2 sp000517125	s__Arthrobacter_K sp000517125
s__MA-N2 sp001549895	s__Arthrobacter_K sp001549895
s__MA-N2 sp002009585	s__Arthrobacter_K bambusae
s__MA-N2 sp004354015	s__Arthrobacter_K terricola
s__MA-N2 sp014207375	s__Arthrobacter_K sp014207375
g__NCCP-1664	g__Zafaria
s__NCCP-1664 sp008580665	s__Zafaria cholistanensis
s__Nesterenkonia sp003595215	s__Nesterenkonia natronophila
s__Nesterenkonia sp007922635	s__Nesterenkonia pannonica
s__Nesterenkonia sp008711175	s__Nesterenkonia ebinurensis
s__Nesterenkonia sp010119385	s__Nesterenkonia haasae
s__Nesterenkonia sp012641515	s__Nesterenkonia sedimenti
s__Paeniglutamicibacter sp002224445	s__Paeniglutamicibacter terrestris
g__Pseudarthrobacter	g__Arthrobacter
s__Pseudarthrobacter chlorophenolicus	s__Arthrobacter chlorophenolicus
s__Pseudarthrobacter chlorophenolicus_A	s__Arthrobacter chlorophenolicus_A
s__Pseudarthrobacter enclensis	s__Arthrobacter enclensis
s__Pseudarthrobacter equi	s__Arthrobacter equi
s__Pseudarthrobacter liuii	s__Arthrobacter liuii
s__Pseudarthrobacter luteus_A	s__Arthrobacter luteus_A
s__Pseudarthrobacter nitrophenolicus	s__Arthrobacter nitrophenolicus
s__Pseudarthrobacter oxydans	s__Arthrobacter oxydans
s__Pseudarthrobacter phenanthrenivorans	s__Arthrobacter phenanthrenivorans
s__Pseudarthrobacter phenanthrenivorans_B	s__Arthrobacter phenanthrenivorans_B
s__Pseudarthrobacter polychromogenes	s__Arthrobacter polychromogenes
s__Pseudarthrobacter siccitolerans	s__Arthrobacter siccitolerans
s__Pseudarthrobacter sp000374865	s__Arthrobacter sp000374865
s__Pseudarthrobacter sp000374905	s__Arthrobacter sp000374905
s__Pseudarthrobacter sp001423525	s__Arthrobacter sp001423525
s__Pseudarthrobacter sp001424565	s__Arthrobacter sp001424565
s__Pseudarthrobacter sp001428075	s__Arthrobacter sp001428075
s__Pseudarthrobacter sp001428335	s__Arthrobacter sp001428335
s__Pseudarthrobacter sp001641125	s__Arthrobacter sp001641125
s__Pseudarthrobacter sp001663775	s__Arthrobacter sp001663775
s__Pseudarthrobacter sp002370555	s__Arthrobacter sp002370555
s__Pseudarthrobacter sp002427975	s__Arthrobacter sp002427975
s__Pseudarthrobacter sp002892835	s__Arthrobacter sp002892835
s__Pseudarthrobacter sp002929215	s__Arthrobacter sp002929215
s__Pseudarthrobacter sp002929755	s__Arthrobacter sp002929755
s__Pseudarthrobacter sp002953935	s__Arthrobacter sp002953935
s__Pseudarthrobacter sp003061105	s__Arthrobacter sp003061105
s__Pseudarthrobacter sp003287955	s__Arthrobacter sp003287955
s__Pseudarthrobacter sp004320525	s__Arthrobacter sp004320525
s__Pseudarthrobacter sp005796185	s__Arthrobacter sp005796185
s__Pseudarthrobacter sp005796205	s__Arthrobacter sp005796205
s__Pseudarthrobacter sp005796225	s__Arthrobacter sp005796225
s__Pseudarthrobacter sp006151685	s__Arthrobacter sp006151685
s__Pseudarthrobacter sp006517815	s__Arthrobacter sp006517815
s__Pseudarthrobacter sp006715165	s__Arthrobacter sp006715165
s__Pseudarthrobacter sp006715225	s__Arthrobacter sp006715225
s__Pseudarthrobacter sp006715285	s__Arthrobacter sp006715285
s__Pseudarthrobacter sp006715305	s__Arthrobacter sp006715305
s__Pseudarthrobacter sp009741265	s__Arthrobacter sp009741265
s__Pseudarthrobacter sp009911795	s__Arthrobacter psychrotolerans
s__Pseudarthrobacter sp013359725	s__Arthrobacter sp013359725
s__Pseudarthrobacter sp013362385	s__Arthrobacter sp013362385
s__Pseudarthrobacter sp014217545	s__Arthrobacter sp014217545
s__Pseudarthrobacter sp900110595	s__Arthrobacter sp900110595
s__Pseudarthrobacter sp900168295	s__Arthrobacter sp900168295
s__Pseudarthrobacter sp900537115	s__Arthrobacter sp900537115
s__Pseudarthrobacter sp902506025	s__Arthrobacter sp902506025
s__Pseudarthrobacter sp902506095	s__Arthrobacter sp902506095
s__Pseudarthrobacter sulfonivorans	s__Arthrobacter sulfonivorans_A
s__Pseudarthrobacter ulcerisalmonis	s__Arthrobacter ulcerisalmonis
s__Pseudoglutamicibacter albus_A	s__Pseudoglutamicibacter albus
s__Rothia nasimurium_A	s__Rothia nasisuis
s__Rothia sp001683935	s__Rothia amarae
s__Quadrisphaera sp008041935	s__Quadrisphaera setariae
s__SLAO01 sp007120845	s__SLAO01 sp007126835
s__Euzebya sp003344865	s__Euzebya pacifica
s__Jiangella sp003427025	s__Jiangella endophytica
s__Jiangella sp003579925	s__Jiangella rhizosphaerae
s__Phytoactinopolyspora sp011320225	s__Phytoactinopolyspora limicola
s__Frankia sp902806485	s__Frankia alpina
s__Frankia sp902812705	s__Frankia nodulisporulans
s__Geodermatophilus daqingensis	s__Geodermatophilus_A daqingensis
s__Klenkia sp009296285	s__Modestobacter_A deserti
g__AC-43	g__Rugosimonospora
s__AC-43 sp005885115	s__Rugosimonospora sp005885115
s__AC-43 sp005885555	s__Rugosimonospora sp005885555
s__Actinoplanes awajinensis	s__Actinoplanes palleronii
s__Catelliglobosispora rhizosphaerae	s__Allorhizocola rhizosphaerae
s__Catelliglobosispora sp003543035	s__UBA11056 sp003543035
s__Glycomyces sp003933745	s__Glycomyces terrestris
s__Micromonospora maris	s__Micromonospora gifhornensis
s__Micromonospora pattaloongensis	s__Micromonospora_E pattaloongensis
s__Micromonospora pisi	s__Micromonospora_G pisi
s__Micromonospora polyrhachis	s__Micromonospora_H polyrhachis
s__Micromonospora sp002285795	s__KBS50 sp002285795
s__Micromonospora sp003030345	s__Plantactinospora sp003030345
s__Micromonospora sp003172955	s__Micromonospora acroterricola
s__Micromonospora sp003751085	s__Micromonospora_E sp003751085
s__Micromonospora sp003762835	s__Plantactinospora sp003762835
s__Micromonospora sp004345505	s__Micromonospora sp008806585
s__Micromonospora sp009908295	s__Micromonospora rubida
s__Micromonospora sp010560025	s__Micromonospora sioxanthis
s__Micromonospora sp013694245	s__Micromonospora ferruginea
g__SLSW01	g__Natronosporangium
s__SLSW01 sp007130245	s__Natronosporangium sp007130245
s__SLSW01 sp009377645	s__Natronosporangium sp009377645
s__Corynebacterium choanis	s__Corynebacterium choanae
s__Corynebacterium geronticis	s__Corynebacterium gerontici
s__Corynebacterium glaucum_A	s__Corynebacterium glaucum
s__Corynebacterium kroppenstedtii_A	s__Corynebacterium parakroppenstedtii
s__Corynebacterium sp001807205	s__Corynebacterium aurimucosum
s__Corynebacterium sp003065405	s__Corynebacterium yudongzhengii
s__Corynebacterium sp003070865	s__Corynebacterium liangguodongii
s__Corynebacterium sp003716585	s__Corynebacterium alimapuense
s__Corynebacterium sp009026825	s__Corynebacterium urogenitale
s__Corynebacterium sp009734385	s__Corynebacterium kalinowskii
s__Corynebacterium sp009734405	s__Corynebacterium comes
s__Corynebacterium sp009734425	s__Corynebacterium occultum
s__Corynebacterium sp011038645	s__Corynebacterium qintianiae
s__Corynebacterium sp011038735	s__Corynebacterium lizhenjunii
s__Corynebacterium sp013978595	s__Corynebacterium haemomassiliense
s__Corynebacterium sp014117265	s__Corynebacterium hindlerae
s__Corynebacterium sp014217255	s__Corynebacterium incognitum
s__Corynebacterium sp014262665	s__Corynebacterium anserum
s__Corynebacterium sp014490555	s__Corynebacterium lujinxingii
s__Corynebacterium sp014490575	s__Corynebacterium zhongnanshanii
s__Corynebacterium sp014490595	s__Corynebacterium wankanglinii
s__Corynebacterium sp014522205	s__Corynebacterium poyangense
s__Corynebacterium urinapleomorphum	s__Corynebacterium urinipleomorphum
s__Gordonia sanguinis	s__Gordonia sp013348785
s__Gordonia sedimidis	s__Gordonia sediminis
s__Gordonia sp002009645	s__Gordonia hongkongensis
s__Gordonia sp003797185	s__Gordonia oryzae
s__Gordonia sp004353055	s__Gordonia zhaorongruii
s__Gordonia sp009828195	s__Gordonia mangrovi
s__Gordonia sp010548645	s__Gordonia hankookensis
s__Gordonia sp012933505	s__Gordonia asplenii
s__Gordonia sp014041935	s__Gordonia jinghuaiqii
s__Gordonia sp014530585	s__Gordonia pseudoamarae
s__Hoyosella sp008312885	s__Hoyosella suaedae
s__Mycobacterium eburneum	s__Mycobacterium talmoniae
s__Mycobacterium farcinogenes	s__Mycobacterium senegalense
s__Mycobacterium goodii_A	s__Mycobacterium goodii
s__Mycobacterium gordonae_C	s__Mycobacterium vicinigordonae
s__Mycobacterium kansasii_C	s__Mycobacterium ostraviense
s__Mycobacterium malmoense_B	s__Mycobacterium malmoense
s__Mycobacterium obuense	s__Mycobacterium kyogaense
s__Mycobacterium sp001886515	s__Mycobacterium crocinum
s__Mycobacterium sp003719305	s__Mycobacterium stellerae
s__Mycobacterium sp007714185	s__Mycobacterium helveticum
s__Mycobacterium sp013404075	s__Mycobacterium vinylchloridicum
s__Nocardia sp003123685	s__Nocardia aurea
s__Nocardia sp009604405	s__Nocardia macrotermitis
s__Nocardia sp009604425	s__Nocardia aurantia
s__Nocardia sp009708175	s__Nocardia aurantiaca
s__Nocardia sp009760405	s__Nocardia terrae
s__Nocardia sp013315795	s__Nocardia barduliensis
s__Nocardia sp013744875	s__Nocardia huaxiensis
s__Nocardia sp013839555	s__Nocardia rosealba
s__Rhodococcus globerula	s__Rhodococcus globerulus
s__Rhodococcus hoagii	s__Rhodococcus equi
s__Rhodococcus sp002165735	s__Rhodococcus pseudokoreensis
s__Rhodococcus sp003130705	s__Rhodococcus oxybenzonivorans
s__Rhodococcus sp004011825	s__Rhodococcus xishaensis
s__Rhodococcus sp004011835	s__Rhodococcus spongiicola
s__Rhodococcus sp006704125	s__Rhodococcus spelaei
s__Rhodococcus sp012729135	s__Rhodococcus yananensis
g__Rhodococcus_B	g__Rhodococcus
s__Rhodococcus_B fascians	s__Rhodococcus fascians
s__Rhodococcus_B fascians_E	s__Rhodococcus fascians_E
s__Rhodococcus_B kyotonensis	s__Rhodococcus kyotonensis
s__Rhodococcus_B kyotonensis_B	s__Rhodococcus kyotonensis_B
s__Rhodococcus_B sp000333955	s__Rhodococcus sp000333955
s__Rhodococcus_B sp000813105	s__Rhodococcus sp000813105
s__Rhodococcus_B sp000954115	s__Rhodococcus sp000954115
s__Rhodococcus_B sp001426085	s__Rhodococcus sp001426085
s__Rhodococcus_B sp001647195	s__Rhodococcus sp001647195
s__Rhodococcus_B sp001942265	s__Rhodococcus sp001942265
s__Rhodococcus_B sp002091955	s__Rhodococcus sp002091955
s__Rhodococcus_B sp002091985	s__Rhodococcus sp002091985
s__Rhodococcus_B sp002258315	s__Rhodococcus sp002258315
s__Rhodococcus_B sp002258785	s__Rhodococcus sp002258785
s__Rhodococcus_B sp002259335	s__Rhodococcus sp002259335
s__Rhodococcus_B sp002259405	s__Rhodococcus sp002259405
s__Rhodococcus_B sp002259415	s__Rhodococcus sp002259415
s__Rhodococcus_B sp002259485	s__Rhodococcus sp002259485
s__Rhodococcus_B sp003641205	s__Rhodococcus sp003641205
s__Rhodococcus_B sp004795915	s__Rhodococcus sp004795915
s__Rhodococcus_B sp014281965	s__Rhodococcus sp014281965
s__Rhodococcus_B yunnanensis	s__Rhodococcus yunnanensis
g__Rhodococcus_C	g__Rhodococcus
s__Rhodococcus_C corynebacterioides	s__Rhodococcus corynebacterioides
s__Rhodococcus_C kroppenstedtii	s__Rhodococcus kroppenstedtii
s__Rhodococcus_C sp000686025	s__Rhodococcus sp000686025
s__Rhodococcus_C sp001426185	s__Rhodococcus sp001426185
s__Rhodococcus_C trifolii	s__Rhodococcus trifolii
s__Tomitella sp007559025	s__Tomitella fengzijianii
s__Tomitella sp014126825	s__Tomitella gaofuii
g__YC2-7	g__C1-24
s__YC2-7 sp008297975	s__C1-24 sp008297975
s__YC2-7 sp012932915	s__Antrihabitans stalactiti
s__Nakamurella sp003860405	s__Nakamurella antarctica
s__Nakamurella sp013002705	s__Nakamurella aerolata
g__AN110305	g__Solihabitans
s__AN110305 sp008386585	s__Solihabitans fulvus
s__Actinokineospora mzabensis	s__Actinokineospora spheciospongiae
s__Actinokineospora sp009745975	s__Actinokineospora pegani
s__Actinokineospora sp014323725	s__Actinokineospora xionganensis
s__Actinosynnema coeruleofusca	s__Actinosynnema coeruleofuscum
s__Actinosynnema ecbatanensis	s__Actinosynnema ecbatanense
s__Actinosynnema tamanrassetensis	s__Actinosynnema tamanrassetense
s__Actinosynnema violaceirubra	s__Actinosynnema violaceirubrum
s__Amycolatopsis pithecelloba	s__Amycolatopsis pithecellobii
s__Amycolatopsis sp000231075	s__Amycolatopsis tucumanensis
s__Amycolatopsis sp003937945	s__Amycolatopsis eburnea
s__Amycolatopsis sp003977855	s__Amycolatopsis roodepoortensis
s__Amycolatopsis sp012328925	s__Amycolatopsis acididurans
s__Amycolatopsis sp013870525	s__Amycolatopsis pittospori
s__Amycolatopsis sp014145675	s__Amycolatopsis dendrobii
s__Amycolatopsis sp902497555	s__Amycolatopsis camponoti
s__Haloechinothrix sp013450155	s__Haloechinothrix aidingensis
s__Kibdelosporangium sp013280595	s__Kibdelosporangium persicum
s__Lentzea flaviverrucosa	s__Lentzea californiensis
s__Lentzea sp007845675	s__Lentzea tibetensis
s__Lentzea sp011067745	s__Lentzea alba
s__Pseudonocardia sp012911935	s__Pseudonocardia acidicola
s__Pseudonocardia sp013155125	s__Pseudonocardia broussonetiae
s__Saccharomonospora amisosensis	s__Saccharomonospora_A amisosensis
s__Saccharomonospora endophytica	s__Prauserella_A endophytica
s__Saccharomonospora isguenensis	s__Prauserella isguenensis
s__Saccharomonospora marina	s__Saccharomonospora_A marina
s__Saccharomonospora marina_A	s__Prauserella_A marina
s__Saccharomonospora muralis	s__Prauserella_B muralis
s__Saccharomonospora rugosa	s__Prauserella rugosa
s__Saccharomonospora sediminis	s__Prauserella salsuginis
s__Saccharomonospora shujinwangii	s__Qaidamihabitans shujinwangii
s__Saccharomonospora sp001942305	s__Prauserella sp001942305
s__Saccharomonospora sp003202235	s__Prauserella_A flavalba
s__Saccharopolyspora erythraea	s__Saccharopolyspora_D erythraea
s__Saccharopolyspora gloriosae	s__Saccharopolyspora_C gloriosae
s__Saccharopolyspora jiangxiensis	s__Saccharopolyspora kobensis
s__Saccharopolyspora sp003931915	s__Saccharopolyspora rhizosphaerae
s__Saccharopolyspora sp004348435	s__Saccharopolyspora endophytica
s__Saccharopolyspora sp004348445	s__Saccharopolyspora aridisoli
s__Saccharopolyspora sp004348985	s__Saccharopolyspora elongata
s__Saccharopolyspora sp012277335	s__Saccharopolyspora pogona
g__Saccharopolyspora_A	g__Halosaccharopolyspora
s__Saccharopolyspora_A lacisalsi	s__Halosaccharopolyspora lacisalsi
g__Saccharopolyspora_B	g__Allosaccharopolyspora
s__Saccharopolyspora_B coralli	s__Allosaccharopolyspora coralli
s__Yuhushiella deserti	s__Yuhushiella arida
f__AcAMD-5	f__UBA5976
s__IMCC26077 lacus_A	s__IMCC26077 sp009921625
s__Nanopelagicus sp000294575	s__Nanopelagicus sp000378905
s__AcAMD-2 sp903922115	s__AcAMD-2 sp000754455
s__Kribbella sp003261635	s__Kribbella monticola
s__Kribbella sp004331485	s__Kribbella capetownensis
s__Kribbella sp004348725	s__Kribbella turkmenica
s__Kribbella sp005233875	s__Kribbella jiaozuonensis
s__Aeromicrobium sp002476985	s__Aeromicrobium phoceense
s__Aeromicrobium sp003065605	s__Aeromicrobium chenweiae
s__Aeromicrobium sp003586285	s__Aeromicrobium endophyticum
s__Aeromicrobium sp007421815	s__Aeromicrobium piscarium
s__Aeromicrobium sp008039565	s__Aeromicrobium terrae
s__Aeromicrobium sp009649075	s__Aeromicrobium yanjiei
s__Aeromicrobium sp013283745	s__Aeromicrobium stalagmiti
s__Marmoricola sp003674065	s__Marmoricola mangrovicus
s__Nocardioides sp001423135	s__Nocardioides kribbensis
s__Nocardioides sp002865585	s__Nocardioides houyundeii
s__Nocardioides sp003600895	s__Nocardioides cavernaquae
s__Nocardioides sp003660455	s__Nocardioides ferulae
s__Nocardioides sp004014875	s__Nocardioides yefusunii
s__Nocardioides sp004137345	s__Nocardioides zhouii
s__Nocardioides sp006007965	s__Nocardioides jishulii
s__Nocardioides sp006494815	s__Nocardioides sambongensis
s__Nocardioides sp008373755	s__Nocardioides humilatus
s__Nocardioides sp008373765	s__Nocardioides antri
